N,num,den,S_n,S_n_over_S_nMinusOne,S_nName,SratioName
1,-7.008059589442887,-19.80572874842209,0.3538400267145542,NA,S_1,S_1/S_NA
2,-6.6620550032041965,-19.86251196578544,0.33540848280821933,0.9479099521965507,S_2,S_2/S_1
3,-6.5655768597950885,-19.766015736519318,0.3321649110935722,0.9903294881289519,S_3,S_3/S_2
4,-6.392568030287678,-19.749005128977785,0.3236906359859029,0.9744877474271144,S_4,S_4/S_3
5,-6.26381449935229,-19.748474985307084,0.3171796558474811,0.9798851761077655,S_5,S_5/S_4
6,-6.185758238221486,-19.5704758302634,0.31607602655505956,0.9965204915508445,S_6,S_6/S_5
7,-6.151624126627793,-19.97258204739087,0.3080034475277779,0.9744600085135675,S_7,S_7/S_6
8,-6.158886013393966,-19.996718694350232,0.30799483192880367,0.9999720275891605,S_8,S_8/S_7
