"","X1","DGUID","PCNAME","LANDAREA","PRUID","GEO_NAME","C1_COUNT_TOTAL_Population..2021","C1_COUNT_TOTAL_Population..2016","C1_COUNT_TOTAL_Population.percentage.change..2016.to.2021","C1_COUNT_TOTAL_Total.private.dwellings","C1_COUNT_TOTAL_Private.dwellings.occupied.by.usual.residents","C1_COUNT_TOTAL_Population.density.per.square.kilometre","C1_COUNT_TOTAL_Land.area.in.square.kilometres","C1_COUNT_TOTAL_65.years.and.over","C1_COUNT_TOTAL_Median.age.of.the.population","C1_COUNT_TOTAL_Total...Occupied.private.dwellings.by.structural.type.of.dwelling...100..data","C1_COUNT_TOTAL_Single.detached.house","C1_COUNT_TOTAL_Average.household.size","C1_COUNT_TOTAL_Married.or.living.common.law","C1_COUNT_TOTAL_Average.number.of.children.in.census.families.with.children","C1_COUNT_TOTAL_Multigenerational.households","C1_COUNT_TOTAL_Median.total.income.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.after.tax.income.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.government.transfers.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.employment.insurance.benefits.in.2020.among.recipients....","C1_COUNT_TOTAL_Average.total.income.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.total.income.in.2019.among.recipients....","C1_COUNT_TOTAL_Median.after.tax.income.in.2019.among.recipients....","C1_COUNT_TOTAL_Median.government.transfers.in.2019.among.recipients....","C1_COUNT_TOTAL_Median.employment.insurance.benefits.in.2019.among.recipients....","C1_COUNT_TOTAL_Indigenous.identity","C1_COUNT_TOTAL_Registered.or.Treaty.Indian","C1_COUNT_TOTAL_Total...Private.households.by.tenure...25..sample.data","C1_COUNT_TOTAL_Owner","C1_COUNT_TOTAL_Renter","C1_COUNT_TOTAL_Total...Occupied.private.dwellings.by.housing.indicators...25..sample.data","C1_COUNT_TOTAL_Spending.30..or.more.of.income.on.shelter.costs.only","C1_COUNT_TOTAL_Median.monthly.shelter.costs.for.owned.dwellings....","C1_COUNT_TOTAL_Average.monthly.shelter.costs.for.owned.dwellings....","C1_COUNT_TOTAL_Median.value.of.dwellings....","C1_COUNT_TOTAL_Average.value.of.dwellings....","C1_COUNT_TOTAL_Median.monthly.shelter.costs.for.rented.dwellings....","C1_COUNT_TOTAL_Average.monthly.shelter.costs.for.rented.dwellings....","C1_COUNT_TOTAL_Non.immigrants","C1_COUNT_TOTAL_Immigrants","C1_COUNT_TOTAL_Total.visible.minority.population","C1_COUNT_TOTAL_Total...Highest.certificate..diploma.or.degree.for.the.population.aged.15.years.and.over.in.private.households...25..sample.data","C1_COUNT_TOTAL_No.certificate..diploma.or.degree","C1_COUNT_TOTAL_High..secondary..school.diploma.or.equivalency.certificate","C1_COUNT_TOTAL_Postsecondary.certificate.or.diploma.below.bachelor.level","C1_COUNT_TOTAL_Bachelor.s.degree","C1_COUNT_TOTAL_Total...Population.aged.15.years.and.over.by.labour.force.status...25..sample.data","C1_COUNT_TOTAL_In.the.labour.force","C1_COUNT_TOTAL_Employed","C1_COUNT_TOTAL_Unemployed","C1_COUNT_TOTAL_Not.in.the.labour.force","C1_COUNT_TOTAL_Participation.rate","C1_COUNT_TOTAL_Employment.rate","C1_COUNT_TOTAL_Unemployment.rate","C1_COUNT_TOTAL_Total...Place.of.work.status.for.the.employed.labour.force.aged.15.years.and.over...25..sample.data","C1_COUNT_TOTAL_Worked.at.home","C1_COUNT_TOTAL_Worked.outside.Canada","C1_COUNT_TOTAL_No.fixed.workplace.address","C1_COUNT_TOTAL_Usual.place.of.work","C1_COUNT_TOTAL_Total...Commuting.destination.for.the.employed.labour.force.aged.15.years.and.over.with.a.usual.place.of.work...25..sample.data","C1_COUNT_TOTAL_Commute.within.census.subdivision..CSD..of.residence","C1_COUNT_TOTAL_Commute.to.a.different.census.subdivision..CSD..within.census.division..CD..of.residence","C1_COUNT_TOTAL_Commute.to.a.different.census.subdivision..CSD..and.census.division..CD..within.province.or.territory.of.residence","C1_COUNT_TOTAL_Commute.to.a.different.province.or.territory","C1_COUNT_TOTAL_Total...Main.mode.of.commuting.for.the.employed.labour.force.aged.15.years.and.over.with.a.usual.place.of.work.or.no.fixed.workplace.address...25..sample.data","C1_COUNT_TOTAL_Car..truck.or.van","C1_COUNT_TOTAL_Public.transit","C1_COUNT_TOTAL_Walked","C1_COUNT_TOTAL_Bicycle","C1_COUNT_TOTAL_Other.method","C1_COUNT_TOTAL_Total...Commuting.duration.for.the.employed.labour.force.aged.15.years.and.over.with.a.usual.place.of.work.or.no.fixed.workplace.address...25..sample.data","C1_COUNT_TOTAL_Less.than.15.minutes","C1_COUNT_TOTAL_15.to.29.minutes","C1_COUNT_TOTAL_30.to.44.minutes","C1_COUNT_TOTAL_45.to.59.minutes","C1_COUNT_TOTAL_60.minutes.and.over","C10_RATE_TOTAL_65.years.and.over","C10_RATE_TOTAL_Single.detached.house","nVets","nvets_1kmBuffer","nDentist","nDentists_1kmBuffer","nDentists_2kmBuffer","nDentists_5kmBuffer","nfuneral","nfunerals_1kmBuffer","nfunerals_2kmBuffer","nfunerals_5kmBuffer","C1_COUNT_TOTAL_Commuteout","C1_COUNT_TOTAL_Dwellingperkm","C1_COUNT_TOTAL_Dwellingperpop"
"176",176,"2021S05100995","Wadena",1.4758,47,"Wadena",1127,1139,-1.1,598,540,763.7,1.48,32.9,53.2,540,455,2,520,1.8,5,39600,36000,12400,6120,48100,35200,32800,8700,5120,15,0,555,450,105,555,35,584,776,150000,163000,765,790,1070,45,30,960,190,350,330,60,960,555,540,15,410,57.8,56.3,2.7,540,50,0,55,440,440,335,45,55,0,490,440,0,50,0,0,490,385,50,30,0,25,"c(NA, NA)",84.3,0,0,2,2,2,2,2,2,2,2,0.238636363636364,404.054054054054,0.479148181011535
"177",177,"2021S05100996","Wainwright",5.0849,48,"Wainwright",6461,6153,5,2848,2602,1270.6,5.08,16.6,38,2605,1740,2.4,2995,1.8,35,46000,40800,7650,6000,54550,45200,40400,1940,6320,370,90,2595,1815,785,2595,455,1370,1332,278000,286000,1100,1136,5250,840,840,4915,885,1675,1550,600,4915,3485,3200,290,1420,70.9,65.1,8.3,3200,300,0,540,2355,2355,1825,410,80,35,2895,2620,0,205,40,30,2895,2250,315,125,85,115,"c(NA, NA)",66.8,1,2,5,5,5,5,2,2,2,2,0.225053078556263,560.629921259842,0.402724036526853
"178",178,"2021S05101007","Watrous",1.9586,47,"Watrous",1817,1865,-2.6,898,841,927.7,1.96,27.5,48.8,840,640,2.1,925,1.8,5,42400,38000,10500,5640,57500,41200,37200,7000,5280,135,50,835,605,235,835,95,850,1032,250000,283000,800,820,1550,175,180,1480,250,500,480,225,1480,905,865,40,575,61.1,58.4,4.4,865,115,0,50,700,700,465,160,70,0,745,635,0,85,20,0,745,565,65,45,15,50,"c(NA, NA)",76.2,0,1,1,1,1,1,1,1,1,1,0.335714285714286,458.163265306122,0.462850853054485
"179",179,"2021S05101022","Whitecourt",10.2245,48,"Whitecourt",9195,9515,-3.4,4013,3578,899.3,10.22,9.5,34.8,3580,1965,2.6,4130,1.8,85,47600,42800,7850,6000,60500,48000,42400,1430,6280,1130,345,3605,2440,1170,3605,655,1620,1568,340000,326800,1170,1316,8135,930,1015,7150,1555,2470,2375,565,7150,5270,4535,735,1880,73.7,63.4,13.9,4535,390,0,900,3240,3245,2770,175,280,10,4140,3805,25,230,15,65,4140,2700,655,235,160,405,"c(NA, NA)",54.9,2,2,7,7,7,7,1,1,1,1,0.146379044684129,392.6614481409,0.389124524197934
"180",180,"2021S05101034","Wingham",2.4707,35,"Wingham",2981,2934,1.6,1408,1338,1206.5,2.47,24.2,44,1340,920,2.2,1390,1.8,10,40000,36400,11400,4880,47120,38000,34000,7550,4920,105,20,1350,940,420,1350,210,1040,1218,376000,392000,840,844,2720,180,150,2550,610,910,795,175,2550,1480,1380,100,1070,58,54.1,6.8,1385,115,0,195,1070,1070,540,225,300,0,1260,1055,0,180,10,15,1260,690,215,200,65,100,"c(NA, NA)",68.7,1,1,3,3,3,3,1,1,2,3,0.495327102803738,570.040485829959,0.448842670244884
"181",181,"2021S05101038","Woodstock",4.498,13,"Woodstock",4602,4332,6.2,2153,2041,1023.1,4.5,24.3,45.6,2040,1105,2.2,2060,1.7,30,34000,31200,12100,6000,52300,29800,27400,8700,6360,140,45,2025,1110,915,2030,260,840,946,160000,186800,725,718,3710,370,435,3625,580,1225,1150,440,3625,2195,1995,195,1435,60.6,55,8.9,1995,230,0,340,1420,1420,910,445,60,0,1760,1640,0,75,0,50,1760,1075,425,180,25,50,"c(NA, NA)",54.2,1,2,9,10,11,11,3,3,3,4,0.359154929577465,478.444444444444,0.443502824858757
"182",182,"2021S05101040","Wynyard",1.6582,47,"Wynyard",1667,1732,-3.8,888,787,1005.3,1.66,26,46.8,785,640,2.1,720,1.9,5,40400,36800,9600,5240,46720,38800,35200,6400,6400,80,50,785,610,180,785,70,600,804,170000,175000,800,890,1455,155,170,1325,275,460,400,170,1325,810,765,40,515,61.1,57.7,4.9,765,45,0,95,625,625,520,65,40,0,720,610,0,85,15,0,720,550,45,85,25,15,"c(NA, NA)",81.5,0,1,1,1,1,1,2,2,2,2,0.168,534.939759036145,0.472105578884223
"183",183,"2021S05101043","Yarmouth",16.8111,12,"Yarmouth",7848,7527,4.3,4004,3668,466.8,16.81,27.7,49.6,3665,1790,2.1,3170,1.7,75,31000,28400,13700,5840,39600,27400,25600,9900,6600,1085,85,3650,1750,1900,3650,720,800,936,180000,221800,725,776,7110,295,570,6435,1735,1835,1920,640,6435,3440,2905,530,2995,53.5,45.1,15.4,2905,235,0,360,2305,2305,1620,580,90,15,2665,2315,15,280,0,50,2665,1900,465,155,75,70,"c(NA, NA)",48.8,1,1,6,6,6,6,2,2,3,3,0.297180043383948,238.191552647234,0.467380224260958
"184",184,"2021S05101061","Fermont",1.4495,24,"Fermont",2151,2288,-6,1459,927,1484,1.45,3.5,34,930,390,2.3,1040,1.8,0,104000,81000,5720,6600,98300,101000,77000,3180,6080,85,0,935,560,375,935,10,765,796,50000,74000,452,462,2100,80,85,1655,140,290,1045,140,1655,1375,1335,35,285,83.1,80.7,2.5,1335,85,0,115,1135,1135,1075,35,20,10,1255,945,170,125,10,0,1255,465,715,45,10,20,"c(NA, NA)",41.9,0,0,0,0,0,0,0,0,0,0,0.052863436123348,1006.20689655172,0.430962343096234
"185",185,"2021S05101064","GaspÃ©",4.9523,24,"Gaspé",2803,2609,7.4,1377,1322,566,4.95,30.5,52.4,1325,550,1.9,1250,1.6,10,42400,36800,12900,6700,49160,39600,34400,9900,7400,205,75,1345,580,760,1345,180,1040,1164,250000,277000,655,664,2405,80,145,2260,415,510,810,305,2260,1230,1145,85,1030,54.4,50.7,6.9,1150,185,0,100,865,865,830,0,25,0,970,840,10,105,0,10,970,775,105,50,0,35,"c(NA, NA)",41.5,0,0,3,3,3,3,2,2,2,2,0.0404624277456648,278.181818181818,0.471637531216554
"186",186,"2021S05101066","RiviÃ¨re-au-Renard",2.096,24,"Rivière-au-Renard",1045,1106,-5.5,524,496,498.6,2.1,30.5,54.4,495,355,2.1,525,1.6,5,37200,33600,15700,10700,41700,34400,30400,14000,11400,70,35,495,350,140,495,40,690,852,180000,187000,516,620,1015,15,0,895,295,200,315,85,895,505,455,50,390,56.4,50.8,9.9,455,70,0,50,335,335,315,0,15,0,385,355,0,25,0,0,385,165,100,115,0,0,"c(NA, NA)",71.7,0,0,1,1,1,1,2,2,2,2,0.0597014925373134,249.52380952381,0.474641148325359
"187",187,"2021S05101087","Port Hardy",5.1467,59,"Port Hardy",3393,3643,-6.9,1662,1494,659.3,5.15,17.7,39.6,1495,750,2.3,1370,1.8,45,37200,35200,13000,6080,43360,33600,30400,9300,5320,1105,920,1495,925,530,1495,195,790,964,276000,279000,795,816,3055,315,230,2780,870,820,730,230,2780,1660,1475,185,1120,59.7,53.1,11.1,1475,80,0,255,1135,1135,945,150,35,10,1390,1225,10,130,0,35,1390,1030,210,80,10,55,"c(NA, NA)",50.2,0,0,3,3,3,3,1,1,1,1,0.167400881057269,322.718446601942,0.440318302387268
"188",188,"2021S05101128","Paisley",1.7969,35,"Paisley",1061,1045,1.5,526,489,590.5,1.8,22.1,44.4,490,375,2.2,545,1.7,5,42000,37200,9600,6000,52000,40400,36400,5760,6080,20,0,515,370,145,515,75,1110,1176,4e+05,418000,910,980,1010,65,25,920,195,320,300,85,920,540,495,40,380,58.7,53.8,7.4,495,95,0,35,365,365,100,220,45,0,400,370,0,25,0,0,400,120,170,85,25,0,"c(NA, NA)",76.5,1,1,0,0,0,0,0,0,0,2,0.726027397260274,292.222222222222,0.460885956644675
"189",189,"2021S05101138","Nanton",1.5588,48,"Nanton",1984,1970,0.7,915,871,1272.8,1.56,31.6,53.6,870,720,2.2,1065,1.8,10,38400,35200,12700,5600,47080,37600,34400,8000,6850,125,55,865,700,170,870,165,1010,1172,3e+05,295000,1050,1120,1670,205,70,1615,305,540,580,150,1615,1030,930,105,585,63.8,57.6,10.2,925,135,0,160,630,630,340,40,245,10,790,700,0,60,0,30,790,385,140,75,100,95,"c(NA, NA)",82.8,1,2,1,1,1,1,1,1,1,1,0.46031746031746,586.538461538462,0.439012096774194
"190",190,"2021S05101164","Sundre",2.3719,48,"Sundre",1781,1866,-4.6,803,752,750.9,2.37,27,46.8,750,540,2.2,790,1.8,15,41600,37600,11900,5840,53000,41200,37600,6040,5280,115,30,765,575,195,760,150,1310,1295,3e+05,295000,1000,1110,1590,145,75,1505,315,545,455,135,1505,915,830,85,590,60.8,55.1,9.3,830,85,0,165,585,580,460,100,20,10,745,655,0,85,0,0,745,455,140,55,30,65,"c(NA, NA)",72,1,2,3,3,3,3,2,2,2,2,0.206896551724138,338.818565400844,0.422234699606962
"191",191,"2021S05101174","Jasper",1.8406,48,"Jasper",4029,3948,2.1,1776,1586,2189,1.84,14.8,38.8,1585,545,2.4,1880,1.7,15,46000,40400,8400,4840,57100,46000,40400,1080,5600,165,65,1610,775,830,1610,250,1400,1648,720000,740000,1220,1308,2900,685,650,3210,325,1030,970,690,3210,2470,2245,220,740,76.9,69.9,8.9,2245,155,0,325,1765,1770,1715,10,30,10,2085,1070,60,660,270,30,2085,1600,355,80,20,25,"c(NA, NA)",34.4,0,1,1,1,1,1,0,0,0,0,0.0310734463276836,965.217391304348,0.393646066021345
"192",192,"2021S05101188","La Ronge",8.7622,47,"La Ronge",5317,5709,-6.9,1797,1630,606.8,8.76,7.2,29.4,1630,1175,3.2,1650,2.1,160,37200,35200,11200,6750,48360,29800,28800,2980,7450,3690,3365,1650,785,515,1650,140,1340,1328,250000,283000,990,1004,4740,370,455,3755,1330,945,860,420,3755,2085,1780,305,1670,55.5,47.4,14.6,1780,75,0,160,1545,1545,890,605,35,15,1705,1435,0,175,15,75,1705,1400,220,40,0,40,"c(NA, NA)",72.1,0,0,5,5,5,5,1,1,1,1,0.423948220064725,205.13698630137,0.306563851796126
"193",193,"2021S05101190","Port McNeill",2.4862,59,"Port McNeill",2234,2219,0.7,1057,973,898.6,2.49,17.3,42,975,715,2.3,1150,1.7,20,42000,38800,10100,4440,51120,40800,36800,8200,5240,325,160,965,680,285,965,120,950,1100,3e+05,326000,880,890,1980,190,130,1805,370,620,605,120,1805,1170,1085,90,630,64.8,60.1,7.7,1085,90,0,185,805,805,535,225,50,0,995,845,10,100,10,35,995,675,65,140,30,75,"c(NA, NA)",73.3,1,1,1,1,1,1,0,0,0,0,0.335403726708075,424.497991967871,0.435541629364369
"194",194,"2021S05101200","Elk Point",2.2592,48,"Elk Point",1394,1437,-3,677,586,617,2.26,19.4,41.2,590,475,2.2,600,1.8,10,43600,39200,9200,6280,53300,43200,38800,3440,5680,155,65,600,390,210,600,105,1150,1244,250000,242000,970,1050,1135,155,145,1040,170,340,385,110,1040,685,610,75,350,65.9,58.7,10.9,610,45,0,145,415,415,260,130,25,0,565,515,0,50,0,0,565,305,95,120,15,30,"c(NA, NA)",80.5,0,0,0,0,0,0,0,0,0,0,0.373493975903614,299.557522123894,0.420373027259684
"195",195,"2021S05101221","Houston",2.9443,59,"Houston",2085,2126,-1.9,1016,885,708.1,2.94,13.2,36,885,460,2.3,940,1.9,10,40800,37600,9600,4800,51450,38000,34800,7800,3680,415,245,860,505,355,860,120,950,1048,2e+05,205000,770,912,1795,180,175,1585,380,610,490,75,1585,1090,950,140,500,68.8,59.9,12.8,950,40,0,165,740,740,680,45,15,0,905,785,15,90,0,0,905,720,80,40,35,35,"c(NA, NA)",52,1,1,1,1,1,1,0,0,0,0,0.081081081081081,345.578231292517,0.424460431654676
"196",196,"2021S05101225","Lac du Bonnet",2.2604,46,"Lac du Bonnet",1064,1089,-2.3,549,496,470.7,2.26,34.3,55.6,495,375,2.1,500,1.7,10,38000,34400,14100,5960,49700,34800,31400,11000,7000,335,70,590,400,190,590,55,795,924,220000,258000,1000,990,1220,60,65,1050,290,315,300,110,1050,555,515,40,490,52.9,49,7.2,510,50,0,70,390,395,285,65,30,10,460,395,0,60,0,0,460,295,55,65,30,25,"c(NA, NA)",75.8,1,1,2,2,2,2,1,1,1,1,0.278481012658228,242.920353982301,0.466165413533835
"197",197,"2021S05101231","Macklin",0.7647,47,"Macklin",1098,1193,-8,485,442,1435.9,0.76,12.7,36.4,445,375,2.5,545,2,5,44000,40000,7800,5480,49300,42400,38400,1900,4560,75,35,435,355,80,435,40,850,1028,224000,240000,900,860,1030,35,25,840,195,305,280,55,840,590,530,60,250,70.2,63.1,10.2,530,25,0,125,375,380,240,35,0,100,505,450,10,35,0,0,505,305,115,45,10,25,"c(NA, NA)",84.3,0,1,0,0,0,0,0,0,0,0,0.368421052631579,638.157894736842,0.402550091074681
"198",198,"2021S05101279","Bassano",1.3253,48,"Bassano",1186,1201,-1.2,583,531,894.9,1.33,26.6,50,530,425,2.2,575,1.8,5,36400,33600,12000,4240,45800,34400,32400,7850,5960,85,45,530,400,130,530,65,850,952,2e+05,2e+05,890,960,1045,95,50,1015,220,350,355,60,1015,625,515,110,390,61.6,50.7,17.6,520,30,0,95,385,385,235,115,35,0,485,450,0,25,0,0,485,265,60,95,25,35,"c(NA, NA)",80.2,0,0,1,1,1,1,0,0,0,0,0.38961038961039,438.345864661654,0.447723440134907
"199",199,"2021S05101297","Grand Bend",6.3904,35,"Grand Bend",3031,2684,12.9,2498,1605,474.3,6.39,54.6,66.5,1605,1355,1.9,2025,1.6,10,42000,37600,15200,5440,57850,40800,36000,13300,4960,30,15,1595,1370,225,1595,215,810,1090,650000,692000,1070,1110,2555,480,80,2900,370,835,915,455,2900,1090,970,120,1810,37.6,33.4,11,970,310,0,105,555,555,220,15,315,0,660,595,0,60,0,0,660,290,120,70,55,120,"c(NA, NA)",84.4,0,0,4,4,4,4,1,3,3,6,0.603603603603604,390.923317683881,0.529528208512042
"200",200,"2021S05101302","Two Hills",1.2537,48,"Two Hills",1379,1291,6.8,510,432,1099.9,1.25,19.6,30.6,435,380,3,550,3,0,33600,32400,10600,6160,40300,32800,30800,5680,5280,15,0,440,290,145,440,95,910,1040,2e+05,210000,960,1020,885,440,25,865,500,150,165,40,865,485,425,60,380,56.1,49.1,12.4,425,30,0,120,270,270,190,40,45,0,395,360,0,30,0,0,395,230,55,50,15,45,"c(NA, NA)",87.4,0,0,1,1,1,1,0,0,0,0,0.296296296296296,408,0.313270485859318
"201",201,"2021S05101305","Wikwemikong",3.443,35,"Wikwemikong",1417,1567,-9.6,556,522,411.6,3.44,12.4,32.4,520,325,2.6,340,1.9,30,27000,26400,13300,6000,32400,22000,21800,8200,7400,1335,1315,520,145,20,520,0,NA,NA,NA,NA,NA,NA,1345,10,0,985,300,275,345,65,985,475,395,80,510,48.2,40.1,16.8,395,15,0,40,340,340,310,25,10,0,380,325,0,50,0,10,380,310,40,20,10,10,"c(NA, NA)",62.5,0,0,1,1,1,1,0,0,0,0,0.0882352941176471,161.627906976744,0.368383909668313
"202",202,"2021S05101309","Whistler",11.7412,59,"Whistler",9974,8739,14.1,7800,4001,849.5,11.74,8.9,34.8,4000,1045,2.4,4445,1.7,15,43600,38800,9000,5000,60100,41200,36000,745,5600,85,20,3940,2085,1855,3945,1170,1760,2262,1290000,1706000,1800,2072,5985,2205,1105,8405,370,2425,2445,2190,8405,6930,5620,1310,1475,82.5,66.9,18.9,5620,1215,25,1175,3205,3200,2845,140,190,20,4380,2825,470,590,365,125,4380,2635,1260,245,100,135,"c(NA, NA)",26.1,1,1,8,10,10,10,0,0,0,0,0.1109375,664.395229982964,0.401142971726489
"203",203,"2021S05101311","Athabasca",2.0323,48,"Athabasca",1181,1250,-5.5,602,521,581.1,2.03,30.5,50.4,520,350,2.1,500,1.7,0,39200,36800,13000,6000,55000,38800,35200,6600,6750,150,50,520,270,250,520,105,740,1110,260000,268000,1000,990,885,90,95,820,125,260,290,80,820,505,460,45,315,61.6,56.1,8.9,460,90,0,70,305,305,255,30,15,0,375,345,0,25,0,0,375,260,35,65,10,0,"c(NA, NA)",67.3,1,1,3,4,4,4,1,1,1,1,0.163934426229508,296.551724137931,0.441151566469094
"204",204,"2021S05101337","Carleton",1.0269,24,"Carleton",1198,1117,7.3,611,591,1166.6,1.03,32.2,53.2,590,385,2,625,1.8,5,38000,34000,13800,6500,41000,36000,32400,12400,6850,25,0,605,375,230,605,55,632,876,210000,212000,600,636,1145,25,20,1040,150,205,460,175,1035,510,465,40,530,49.3,44.9,7.8,465,75,0,65,330,330,200,80,55,0,390,330,0,45,0,10,390,230,95,30,0,35,"c(NA, NA)",65.3,0,0,1,1,1,1,1,1,2,3,0.393939393939394,593.203883495146,0.493322203672788
"205",205,"2021S05101339","Mistissini",3.0468,24,"Mistissini",3190,3523,-9.5,938,843,1047,3.05,8.2,29,845,575,3.8,1185,2.4,95,42000,40800,14100,6550,49920,36800,36400,9300,6240,2985,2855,845,160,160,850,0,NA,NA,NA,NA,NA,NA,3150,35,45,2305,1210,355,550,145,2305,1345,1255,85,970,58.4,54.4,6.3,1250,60,0,160,1035,1035,860,175,0,0,1195,875,10,240,0,65,1195,1045,60,20,10,60,"c(NA, NA)",68,0,0,0,0,0,0,0,0,0,0,0.169082125603865,307.540983606557,0.264263322884013
"206",206,"2021S05101340","Chisasibi",5.4248,24,"Chisasibi",3565,3682,-3.2,969,772,657.2,5.42,7.3,26.4,770,575,4.6,1085,2.3,200,42800,41600,15500,7200,48680,35600,35200,11100,5440,3370,3320,770,105,115,770,0,NA,NA,NA,NA,NA,NA,3505,50,60,2445,1255,365,675,105,2445,1445,1325,120,1000,59.1,54.2,8.3,1325,25,0,160,1135,1135,1105,25,0,0,1295,1055,0,165,10,65,1295,1110,95,15,10,65,"c(NA, NA)",74.7,1,1,2,2,2,2,0,0,0,0,0.026431718061674,178.782287822878,0.216549789621318
"207",207,"2021S05101347","La CrÃ¨te",3.0218,48,"La Crète",2911,2739,6.3,1125,1063,963.3,3.02,13.9,27.8,1065,700,2.7,1365,2.4,10,39600,37200,6750,6240,44680,36400,34000,2000,5640,305,215,1160,800,360,1160,240,1150,1256,280000,286000,1150,1184,2860,170,20,2255,1175,585,310,125,2255,1315,1175,135,940,58.3,52.1,10.3,1175,70,0,320,790,790,725,55,10,0,1105,1035,0,45,0,20,1105,805,150,65,10,75,"c(NA, NA)",65.7,0,0,2,2,2,2,0,0,0,0,0.0822784810126582,372.516556291391,0.365166609412573
"208",208,"2021S05101351","Pemberton",2.8236,59,"Pemberton",2970,2269,30.9,1242,1184,1051.8,2.82,5.9,36.4,1180,165,2.5,1555,1.5,15,49200,44000,8500,5880,56350,48000,42000,2560,6240,195,60,1195,760,440,1195,280,2100,2092,780000,812000,1550,1620,2320,540,190,2310,160,560,905,515,2310,1950,1830,120,360,84.4,79.2,6.2,1830,335,0,375,1120,1120,600,470,45,0,1495,1205,25,150,90,20,1495,645,215,470,80,90,"c(NA, NA)",14,1,1,2,2,2,2,0,0,0,0,0.464285714285714,440.425531914894,0.398653198653199
"209",209,"2021S05101379","Stanley Mission 157",2.6864,47,"Stanley Mission 157",1987,1935,2.7,559,523,739.7,2.69,5,24.4,525,400,3.8,620,2.2,90,23400,23400,11500,7200,29200,18200,18200,5760,9400,1965,1950,525,25,40,520,0,NA,800,NA,160000,512,560,1985,0,0,1330,755,325,180,65,1330,485,355,130,855,36.5,26.7,26.8,355,0,0,80,265,265,190,70,10,0,350,270,0,45,0,30,350,230,70,10,10,40,"c(NA, NA)",76.2,0,0,0,0,0,0,0,0,0,0,0.283018867924528,207.806691449814,0.263210870659285
"210",210,"2021S05101386","Waskaganish",0.8114,24,"Waskaganish",1807,1839,-1.7,437,401,2227,0.81,7.5,25.4,400,330,4.5,485,2.4,95,36400,36400,15400,6280,43100,27600,27600,10900,7750,1765,1755,400,10,30,400,0,NA,NA,NA,NA,NA,NA,1795,10,20,1200,630,195,305,50,1200,605,535,75,590,50.4,44.6,12.4,535,10,0,75,445,445,415,30,0,0,520,345,0,155,10,20,520,465,40,10,0,10,"c(NA, NA)",82.5,0,0,0,0,0,0,0,0,0,0,0.0674157303370787,539.506172839506,0.22191477587161
"211",211,"2021S05101423","Pelican Narrows",2.728,47,"Pelican Narrows",2133,2281,-6.5,432,405,781.9,2.73,3.8,20.6,405,365,5.3,465,2.9,90,21400,21400,14200,9400,27600,10900,10900,2380,8100,2110,2105,405,25,45,405,0,NA,800,NA,160000,468,400,2120,10,10,1315,810,370,90,45,1315,350,275,75,960,26.6,20.9,21.4,275,0,0,40,235,230,90,135,10,0,270,215,0,50,0,0,270,230,30,0,0,10,"c(NA, NA)",90.1,0,0,0,0,0,0,0,0,0,0,0.608695652173913,158.241758241758,0.189873417721519
"212",212,"2021S05101433","Manawan",0.8557,24,"Manawan",1597,1648,-3.1,315,271,1866.3,0.86,3.1,23,270,205,5.9,560,2.5,100,27200,27000,10300,6450,31750,23400,23200,8200,7150,1590,1590,270,15,30,270,0,NA,NA,NA,NA,NA,NA,1595,0,0,1020,615,100,270,35,1020,520,445,80,505,51,43.6,15.4,440,15,0,70,355,360,335,0,15,0,430,360,0,55,0,10,430,355,30,10,10,30,"c(NA, NA)",75.9,0,0,0,0,0,0,0,0,0,0,0.0694444444444444,366.279069767442,0.169693174702567
"213",213,"2021S05101465","Inukjuak",1.976,24,"Inukjuak",1671,1438,16.2,531,431,845.6,1.98,3.3,22.2,430,150,3.9,440,2.3,65,31600,30000,12300,6280,43100,29000,28200,6750,9300,1650,0,430,10,425,430,10,NA,NA,NA,NA,500,494,1665,10,0,1050,675,245,110,10,1050,565,510,55,485,53.8,48.6,9.7,510,0,0,35,470,470,455,20,0,0,510,225,0,100,0,175,510,460,35,10,10,10,"c(NA, NA)",34.9,0,0,0,0,0,0,0,0,0,0,0.0319148936170213,268.181818181818,0.257929383602633
"214",214,"2021S05101466","Kuujjuaq",2.4565,24,"Kuujjuaq",1958,2219,-11.8,910,709,797.1,2.46,5.1,28.2,710,215,2.7,650,2.1,25,57600,49200,10000,7850,65900,49600,44400,4440,7450,1560,10,715,35,680,715,25,1000,1100,436000,440000,604,594,1890,60,55,1380,645,260,325,90,1380,1010,960,50,370,73.2,69.6,5,960,30,0,85,845,845,805,35,0,0,935,695,15,165,0,60,935,845,60,10,0,15,"c(NA, NA)",30.3,0,1,0,0,0,0,0,0,0,0,0.0473372781065089,369.918699186992,0.362104187946885
